Badge,Profile,Company,Location,Start Date,Salary,,Posted,Tags,Link
Actively hiring,Product Designer,Persist Ventures,Work from home,Immediately,9,12,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-product-designer-fresher-jobs-at-persist-ventures1678960254
,Finance Manager,B.R. Specialties LLP,Delhi,Immediately,9,,Today,Fresher Job,https://internshala.com//job/detail/finance-manager-fresher-jobs-in-delhi-at-br-specialties-llp1680594784
,Pre Boot Camp Leader,GUVI Geek Network Private Limited,Work from home,Immediately,9,,7 days ago,Fresher Job,https://internshala.com//job/detail/remote-pre-boot-camp-leader-fresher-jobs-at-guvi-geek-network-private-limited1680096089
,International Marketing Executive,EPP Composites,Work from home,Immediately,8.8,,2 days ago,Fresher Job,https://internshala.com//job/detail/remote-international-marketing-executive-fresher-jobs-at-epp-composites1680544707
,Specialist - Talent Management,Innovaccer Analytics Private Limited,Noida,Immediately,8,18,2 weeks ago,Fresher Job,https://internshala.com//job/detail/specialist-talent-management-fresher-jobs-in-noida-at-innovaccer-analytics-private-limited1679341382
,Project Associate - Management & Strategy Consulting,StrategyCo.Global,Bangalore,Immediately,8,16,2 weeks ago,Fresher Job,https://internshala.com//job/detail/project-associate-management-strategy-consulting-fresher-jobs-in-bangalore-at-strategycoglobal1679322420
Actively hiring,Artificial Intelligence (AI) Executive,Buddha Education Association Incorporation,Work from home,Immediately,8,12,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-artificial-intelligence-ai-executive-fresher-jobs-at-buddha-education-association-incorporation1679394487
,Marketing Manager - Lead Generation,SPS,Work from home,Immediately,8,11,5 days ago,Fresher Job,https://internshala.com//job/detail/remote-marketing-manager-lead-generation-fresher-jobs-at-sps1680264449
Actively hiring,Corporate Sales Associate,Genesis,Work from home,Immediately,8,10,4 days ago,Fresher Job,https://internshala.com//job/detail/remote-corporate-sales-associate-fresher-jobs-at-genesis1680345098
Actively hiring,Business Development Executive,The Craft Talk,Work from home,Immediately,8,10,1 week ago,Fresher Job,https://internshala.com//job/detail/remote-business-development-executive-fresher-jobs-at-the-crafty-talk1679664045
,Python Full Stack Developer,Dimensionless Technologies,Navi Mumbai,Immediately,8,10,1 week ago,Fresher Job,https://internshala.com//job/detail/python-full-stack-developer-fresher-jobs-in-navi-mumbai-at-dimensionless-technologies1679554766
Actively hiring,Finance Manager,The Craft Talk,Work from home,Immediately,8,10,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-finance-manager-fresher-jobs-at-the-crafty-talk1679396385
Actively hiring,Fire And Safety Consultant,ArchSlate,Work from home,Immediately,8,10,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-fire-and-safety-consultant-fresher-jobs-at-archslate1679390369
,Implementation Analyst,BeyondSquare Solutions Private Limited,"Chennai, Bangalore, Hyderabad, Mumbai",Immediately,8,10,2 weeks ago,Fresher Job,https://internshala.com//job/detail/implementation-analyst-fresher-jobs-in-multiple-locations-at-beyondsquare-solutions-private-limited1679298140
Actively hiring,Human Resources (HR) Specialist,Buddha Education Association Incorporation,Pune,Immediately,8,10,2 weeks ago,Fresher Job,https://internshala.com//job/detail/human-resources-hr-specialist-fresher-jobs-in-pune-at-buddha-education-association-incorporation1679307334
,Junior Customer Acquisition Manager,Goodera,Bangalore,Immediately,8,10,3 weeks ago,Fresher Job,https://internshala.com//job/detail/junior-customer-acquisition-manager-fresher-jobs-in-bangalore-at-goodera1678864139
,Associate - Finance (Chartered Accountant),Upyugo,Mumbai,Immediately,8,10,3 weeks ago,Fresher Job,https://internshala.com//job/detail/associate-finance-chartered-accountant-fresher-jobs-in-mumbai-at-upyugo1678262955
,Business Development Associate,BYJU'S,"Bangalore, Hyderabad",Immediately,8,9,6 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-bangalore-hyderabad-at-byjus1680084030
Actively hiring,Junior Backend Developer,The Craft Talk,Work from home,Immediately,8,9,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-junior-backend-developer-fresher-jobs-at-the-crafty-talk1679416266
Actively hiring,Chartered Accountant (CA),Buddha Education Association Incorporation,Work from home,Immediately,8,9,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-chartered-accountant-ca-fresher-jobs-at-buddha-education-association-incorporation1679395020
,Backend Node Development,Velozity Global Solutions,Work from home,Immediately,8,9,3 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-backend-node-development-fresher-jobs-at-velozity-global-solutions1678204024
,Full Stack MERN Developer,Velozity Global Solutions,Work from home,Immediately,8,9,3 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-full-stack-mern-developer-fresher-jobs-at-velozity-global-solutions1678181345
,ReactJS Frontend Developer,Velozity Global Solutions,Work from home,Immediately,8,9,3 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-reactjs-frontend-developer-fresher-jobs-at-velozity-global-solutions1678181175
,Business Development Associate,BYJU'S,"Chennai, Bangalore, Hyderabad, Anantapur, Kurnool, Hubli, Visakhapatnam",Immediately,8,8.5,1 week ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus1679507319
,Business Development Associate,BYJU'S The Learning App,"Chennai, Coimbatore, Kottayam, Kozhikode, Thiruvananthapuram, Thrissur, Bangalore, Hyderabad, Salem, Cochin, Trichiana (Italy)",Immediately,7.5,8.5,2 weeks ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1679382546
,Business Development Associate,BYJU'S The Learning App,Bangalore,Immediately,7.5,8,2 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-bangalore-at-byjus-the-learning-app1680287023
Actively hiring,React Native Mobile Developer,Persist Ventures,Navi Mumbai,Immediately,7.5,,3 weeks ago,Fresher Job,https://internshala.com//job/detail/react-native-mobile-developer-fresher-jobs-in-navi-mumbai-at-persist-ventures1678689171
,Business Development Executive,WizKlub Learning,Bangalore,Immediately,7.4,,7 days ago,Fresher Job,https://internshala.com//job/detail/business-development-executive-fresher-jobs-in-bangalore-at-wizklub-learning1680095325
,Inside Sales Specialist,Codeyoung,Bangalore,Immediately,7.36,,3 weeks ago,Fresher Job,https://internshala.com//job/detail/inside-sales-specialist-fresher-jobs-in-bangalore-at-codeyoung1678798878
,React Native Developer,KoiReader Technologies,Bangalore,Immediately,7,15,4 days ago,Fresher Job,https://internshala.com//job/detail/react-native-developer-fresher-jobs-in-bangalore-at-koireader-technologies1680333806
,International Sales Manager,Atica Global,Bangalore,Immediately,7,14,6 days ago,Fresher Job,https://internshala.com//job/detail/international-sales-manager-fresher-jobs-in-bangalore-at-atica-global1680175373
,Software Engineer,PROGRIDS Progressive Grid Solutions Private Limited,Bangalore,Immediately,7,14,2 weeks ago,Fresher Job,https://internshala.com//job/detail/software-engineer-fresher-jobs-in-bangalore-at-progrids-progressive-grid-solutions-private-limited1679044279
,Territory Manager,Kyocera Document Solutions India Private Limited (KDID),Mumbai,Immediately,7,10,7 days ago,Fresher Job,https://internshala.com//job/detail/territory-manager-fresher-jobs-in-mumbai-at-kyocera-document-solutions-india-private-limited-kdid1680155085
Actively hiring,Digital Marketing Executive,Genesis,Work from home,Immediately,7,9,4 days ago,Fresher Job,https://internshala.com//job/detail/remote-digital-marketing-executive-fresher-jobs-at-genesis1680345073
Actively hiring,Junior Social Media Marketing Manager,Genesis,Work from home,Immediately,7,9,4 days ago,Fresher Job,https://internshala.com//job/detail/remote-junior-social-media-marketing-manager-fresher-jobs-at-genesis1680345069
,Assistant Manager,Sapllings HR,"Mumbai, Bangalore",Immediately,7,9,1 week ago,Fresher Job,https://internshala.com//job/detail/assistant-manager-fresher-jobs-in-mumbai-bangalore-at-sapllings-hr1679914678
Actively hiring,Associate UI/UX Designer,MentorBoxx,Work from home,Immediately,7,9,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-associate-ui-ux-designer-fresher-jobs-at-mentorboxx1679306767
,Business Development Associate,BYJU'S The Learning App,"Karimnagar, Kottayam, Bangalore, Hyderabad, Nellore",Immediately,7,8,Today,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1680630264
,Business Development Associate,BYJU'S The Learning App,"Mangaluru, Visakhapatnam, Hyderabad, Vijayawada, Kerala, Bangalore",Immediately,7,8,Today,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1680617126
,Business Development Associate,BYJU'S The Learning App,"Chennai, Coimbatore, Bangalore, Hyderabad, Kochi",Immediately,7,8,2 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1680332150
,Business Development Manager,Skill Search Infotech Private Limited,Chandigarh,Immediately,7,8,5 days ago,Fresher Job,https://internshala.com//job/detail/business-development-manager-fresher-jobs-in-chandigarh-at-skill-search-infotech-private-limited1680247526
,Business Development Manager,Zexweb Technologies Private Limited,Noida,Immediately,7,8,5 days ago,Fresher Job,https://internshala.com//job/detail/business-development-manager-fresher-jobs-in-noida-at-zexweb-technologies-private-limited1680243914
,Business Development Associate,BYJU'S The Learning App,"Chennai, Coimbatore, Erode, Tiruchirappalli, Salem",Immediately,7,8,6 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1680091075
,Business Development Associate,BYJU'S The Learning App,"Chennai, Coimbatore, Erode, Kottayam, Bangalore, Hyderabad, Kochi, Salem",Immediately,7,8,7 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1680071349
,Business Development Associate,BYJU'S The Learning App,"Chennai, Bangalore, Hyderabad",Immediately,7,8,7 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1679989963
,Business Development Associate,BYJU'S,Chandigarh,Immediately,7,8,7 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-chandigarh-at-byjus1680071401
,Business Development Associate,BYJU'S,"Chennai, Hyderabad, Nellore",Immediately,7,8,7 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus1680058042
,Business Development Associate,BYJU'S,"Chandigarh, Delhi, Gurgaon, Bangalore",Immediately,7,8,1 week ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus1678452354
,Business Development Associate,BYJU'S,Chandigarh,Immediately,7,8,1 week ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-chandigarh-at-byjus1679916835
,Business Development Associate,BYJU'S The Learning App,"Chennai, Coimbatore, Kollam, Bangalore, Hyderabad, Belgaum",Immediately,7,8,1 week ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1679750616
,Business Development Executive,BYJU'S,"Chandigarh, Mohali, Punj",Immediately,7,8,1 week ago,Fresher Job,https://internshala.com//job/detail/business-development-executive-fresher-jobs-in-multiple-locations-at-byjus1679810869
Actively hiring,Junior Software Tester,The Craft Talk,Work from home,Immediately,7,8,1 week ago,Fresher Job,https://internshala.com//job/detail/remote-junior-software-tester-fresher-jobs-at-the-crafty-talk1679549209
Actively hiring,Tutor - Physics/Chemistry/Biology/Mathematics (JEE-Mains/Advanced/NEET),CloudBird Digital Private Limited,Noida,Immediately,7,8,2 weeks ago,Fresher Job,https://internshala.com//job/detail/tutor-physics-chemistry-biology-mathematics-jee-mains-advanced-neet-fresher-jobs-in-noida-at-cloudbird-digital-private-limited1679393660
,Business Development Associate,BYJU'S,"Chennai, Kozhikode, Thrissur, Bangalore, Hyderabad, Kochi",Immediately,7,8,2 weeks ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus1679142918
,Business Development Associate,BYJU'S,"Thrissur, Bangalore, Hyderabad",Immediately,7,8,2 weeks ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus1678887178
,Business Development Associate,BYJU'S,"Visakhapatnam, Bangalore, Hyderabad, Mumbai, Vijayawada, Keralapuram, Rajahmundry",Immediately,7,8,3 weeks ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus1678354596
,Video Editor,Chennai Live,Chennai,Immediately,7,,Today,Fresher Job,https://internshala.com//job/detail/video-editor-fresher-jobs-in-chennai-at-chennai-live1680677361
,Business Development Associate,BYJU'S The Learning App,"Chennai, Karimnagar, Kottayam, Bangalore, Hyderabad, Nellore",Immediately,7,,2 days ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-multiple-locations-at-byjus-the-learning-app1680200624
Actively hiring,Inside Sales Associate,Internshala,Gurgaon,Immediately,7,,3 weeks ago,Fresher Job,https://internshala.com//job/detail/inside-sales-associate-fresher-jobs-in-gurgaon-at-internshala1678890434
,Assistant Regional Director,IGNOU,"Ahmedabad, Chandigarh, Delhi, Kolkata, Pune, Shillong, Hyderabad, Mumbai, Srinagar",Immediately,6.8,21,3 weeks ago,Fresher Job,https://internshala.com//job/detail/assistant-regional-director-fresher-jobs-in-multiple-locations-at-ignou1678399310
Actively hiring,Associate SDE (Web),Internshala,Gurgaon,Immediately,6.6,8.28,1 week ago,Fresher Job,https://internshala.com//job/detail/associate-sde-web-fresher-jobs-in-gurgaon-at-internshala1680066778
,Business Development Executive,PlanetSpark,Gurgaon,Immediately,6.6,7.23,Today,Fresher Job,https://internshala.com//job/detail/business-development-executive-fresher-jobs-in-gurgaon-at-planetspark1680605722
,Business Development Associate,PlanetSpark,Gurgaon,Immediately,6.6,7.23,2 weeks ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-gurgaon-at-planetspark1679140652
,Student Counselor,Leverage Edu,Noida,Immediately,6.6,7.2,1 day ago,Fresher Job,https://internshala.com//job/detail/student-counselor-fresher-jobs-in-noida-at-leverage-edu1680591723
,Business Development Associate,Leverage Edu,Noida,Immediately,6.6,7,2 weeks ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-noida-at-leverage-edu1678997983
,Business Development Associate,PlanetSpark,Gurgaon,Immediately,6.6,,1 day ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-gurgaon-at-planetspark1680585185
,Marketing Lead,Level Fittech Private Limited,Mumbai,Immediately,6.5,8,3 weeks ago,Fresher Job,https://internshala.com//job/detail/marketing-lead-fresher-jobs-in-mumbai-at-level-fittech-private-limited1678129326
,Business Development Associate,PlanetSpark,Gurgaon,Immediately,6.5,7.2,1 day ago,Fresher Job,https://internshala.com//job/detail/business-development-associate-fresher-jobs-in-gurgaon-at-planetspark1680522634
Actively hiring,Deep Learning Executive,Persist Ventures,Work from home,Immediately,6,25,6 days ago,Fresher Job,https://internshala.com//job/detail/remote-deep-learning-executive-fresher-jobs-at-persist-ventures1680238668
Actively hiring,Growth Consultant (Sales),UAbility,Work from home,Immediately,6,24,2 weeks ago,Fresher Job,https://internshala.com//job/detail/remote-growth-consultant-sales-fresher-jobs-at-uability1679481077
,Corporate Sales Executive,Clikin Tech,Work from home,Immediately,6,12,5 days ago,Fresher Job,https://internshala.com//job/detail/remote-corporate-sales-executive-fresher-jobs-at-clikin-tech1680255898
,iOS App Developer,Unimaginable Technologies,Delhi,Immediately,6,12,6 days ago,Fresher Job,https://internshala.com//job/detail/ios-app-developer-fresher-jobs-in-delhi-at-unimaginable-technologies1680204705
,Java Full-Stack Development Instructor,Roboiotics Services LLP,"Bhopal, Gwalior, Chandigarh, Jalandhar",Immediately,6,12,7 days ago,Fresher Job,https://internshala.com//job/detail/java-full-stack-development-instructor-fresher-jobs-in-multiple-locations-at-roboiotics-services-llp1680083028
,Full Stack Web Developer,Pepup HR Consulting Firm,Pune,Immediately,6,12,7 days ago,Fresher Job,https://internshala.com//job/detail/full-stack-web-developer-fresher-jobs-in-pune-at-pepup-hr-consulting-firm1678965464
Actively hiring,Content Writer,RtCamp Solutions Private Limited,Pune,Immediately,6,12,2 weeks ago,Fresher Job,https://internshala.com//job/detail/content-writer-fresher-jobs-in-pune-at-rtcamp-solutions-private-limited1679485791
,Visual Designer,RtCamp Solutions Private Limited,Pune,Immediately,6,12,2 weeks ago,Fresher Job,https://internshala.com//job/detail/visual-designer-fresher-jobs-in-pune-at-rtcamp-solutions-private-limited1679392665
,Node.js Developer,KoiReader Technologies,Bangalore,Immediately,6,11,2 weeks ago,Fresher Job,https://internshala.com//job/detail/nodejs-developer-fresher-jobs-in-bangalore-at-koireader-technologies1679459856
,React Native Developer,TrustHeal Tech Private Limited,Work from home,Immediately,6,10,Today,Fresher Job,https://internshala.com//job/detail/remote-react-native-developer-fresher-jobs-at-trustheal-tech-private-limited1680694040
,Product Designer,Springwood Digital Labs Private Limited,Bangalore,Immediately,6,10,2 days ago,Fresher Job,https://internshala.com//job/detail/product-designer-fresher-jobs-in-bangalore-at-springwood-digital-labs-private-limited1680336543
Actively hiring,Area Sales Associate,Amogeo ITES India Limited,Work from home,Immediately,6,10,6 days ago,Fresher Job,https://internshala.com//job/detail/remote-area-sales-associate-fresher-jobs-at-amogeo-ites-india-limited1680180164
,Software Engineer,RapidKen.AI,Work from home,Immediately,6,10,1 week ago,Fresher Job,https://internshala.com//job/detail/remote-software-engineer-fresher-jobs-at-rapidkenai1679988021
,Senior Teacher - Chemistry For IIT JEE,Acarya Smartprep Eduventure LLP,Bokaro Steel City,Immediately,6,10,1 week ago,Fresher Job,https://internshala.com//job/detail/senior-teacher-chemistry-for-iit-jee-fresher-jobs-in-bokaro-steel-city-at-acarya-smartprep-eduventure-llp1679805361
Actively hiring,Mobile App Developer,Buddha Education Association Incorporation,"Pune, Mumbai, Delhi",Immediately,6,10,2 weeks ago,Fresher Job,https://internshala.com//job/detail/mobile-app-developer-fresher-jobs-in-multiple-locations-at-buddha-education-association-incorporation1679307364
